1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
年度	予算区分	予算区分名称	対象年月	部	課	係	部名称	課名称	係名称	会計	会計名称	款	項	目	大事業	中事業	小事業	節	細節	細々節	款名称	項名称	目名称	大事業名称	中事業名称	小事業名称	節名称	細節名称	細々節名称	予算額	充流用等増減額	計	本月分	累計	予算残額	執行率
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'10	'00	'00	'14	'01	'01	土木費	道路橋りょう費	道路新設改良費	清音神在本線周辺整備事業			工事請負費	工事請負費	工事請負費	5,000,000	0	5,000,000	0	3,399,000	1,601,000	68
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'13	'00	'00	'00	'00	'00	土木費	道路橋りょう費	道路新設改良費	元町井手本線改良事業						97,000,000	0	97,000,000	0	#######	#######	31.5
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'13	'00	'00	'14	'00	'00	土木費	道路橋りょう費	道路新設改良費	元町井手本線改良事業			工事請負費			89,000,000	0	89,000,000	0	#######	#######	34.4
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'13	'00	'00	'14	'01	'00	土木費	道路橋りょう費	道路新設改良費	元町井手本線改良事業			工事請負費	工事請負費		89,000,000	0	89,000,000	0	#######	#######	34.4
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'13	'00	'00	'14	'01	'01	土木費	道路橋りょう費	道路新設改良費	元町井手本線改良事業			工事請負費	工事請負費	工事請負費	89,000,000	0	89,000,000	0	#######	#######	34.4
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'13	'00	'00	'21	'00	'00	土木費	道路橋りょう費	道路新設改良費	元町井手本線改良事業			補償，補填及び賠償金			8,000,000	0	8,000,000	0	0	8,000,000	0
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'13	'00	'00	'21	'01	'00	土木費	道路橋りょう費	道路新設改良費	元町井手本線改良事業			補償，補填及び賠償金	補償費		8,000,000	0	8,000,000	0	0	8,000,000	0
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'13	'00	'00	'21	'01	'01	土木費	道路橋りょう費	道路新設改良費	元町井手本線改良事業			補償，補填及び賠償金	補償費	補償費	8,000,000	0	8,000,000	0	0	8,000,000	0
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'15	'00	'00	'00	'00	'00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業						70,000,000	0	70,000,000	0	#######	#######	47.1
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'15	'00	'00	'01	'00	'00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			報酬			15,753,000	0	15,753,000	0	#######	2,316,325	85.3
